AccessionID;system;Frequency;database;isol_env;host_species;oxygen_tolerance;Phylum_count;Family;Family_count;bact_defence_system;Phylum;Tax:Superkingdom;Tax:Phylum;Tax:Class;Tax:Order;Tax:Family;Tax:Genus;Tax:Species
GCA_000009705;cas_adaptation;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;CRISPR-Cas_padloc;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;cas_type_I-D;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;CRISPR-Cas_padloc;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;cas_type_other;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;CRISPR-Cas_padloc;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;cbass_type_IIs;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;CBASS;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;septu_type_I;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;Septu;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;thoeris_type_I;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;Thoeris;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000012305;DMS_other;2;bacdive;Soil;0;aerobe;498;Moraxellaceae;27;DMS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;"s__Psychrobacter arcticus"""
GCA_000012305;RM_type_I;1;bacdive;Soil;0;aerobe;498;Moraxellaceae;27;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;"s__Psychrobacter arcticus"""
GCA_000012305;cbass_type_II;1;bacdive;Soil;0;aerobe;498;Moraxellaceae;27;CBASS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;"s__Psychrobacter arcticus"""
GCA_000012305;zorya_other;1;bacdive;Soil;0;aerobe;498;Moraxellaceae;27;Zorya;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;"s__Psychrobacter arcticus"""
GCA_000012325;DMS_other;1;marref;Marine sediment;;Facultative;498;Alteromonadaceae;119;DMS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Colwellia;"s__Colwellia psychrerythraea_A"""
GCA_000012325;Dpd;1;marref;Marine sediment;;Facultative;498;Alteromonadaceae;119;Dpd;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Colwellia;"s__Colwellia psychrerythraea_A"""
GCA_000012325;RM_type_IV;1;marref;Marine sediment;;Facultative;498;Alteromonadaceae;119;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Colwellia;"s__Colwellia psychrerythraea_A"""
GCA_000012325;dXTPase;1;marref;Marine sediment;;Facultative;498;Alteromonadaceae;119;dXTPase;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Colwellia;"s__Colwellia psychrerythraea_A"""
GCA_000012325;gabija;1;marref;Marine sediment;;Facultative;498;Alteromonadaceae;119;Gabija;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Colwellia;"s__Colwellia psychrerythraea_A"""
GCA_000012325;septu_type_I;1;marref;Marine sediment;;Facultative;498;Alteromonadaceae;119;Septu;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Colwellia;"s__Colwellia psychrerythraea_A"""
GCA_000013905;DMS_other;5;bacdive;Soil;0;aerobe;498;Moraxellaceae;27;DMS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;"s__Psychrobacter cryohalolentis"""
GCA_000013905;Paris;1;bacdive;Soil;0;aerobe;498;Moraxellaceae;27;PARIS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;"s__Psychrobacter cryohalolentis"""
GCA_000013905;RM_type_I;3;bacdive;Soil;0;aerobe;498;Moraxellaceae;27;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;"s__Psychrobacter cryohalolentis"""
GCA_000013905;RM_type_II;1;bacdive;Soil;0;aerobe;498;Moraxellaceae;27;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;"s__Psychrobacter cryohalolentis"""
GCA_000013905;mza_other;1;bacdive;Soil;0;aerobe;498;Moraxellaceae;27;Mza;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;"s__Psychrobacter cryohalolentis"""
GCA_000013905;zorya_type_I;1;bacdive;Soil;0;aerobe;498;Moraxellaceae;27;Zorya;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;"s__Psychrobacter cryohalolentis"""
GCA_000013985;AbiD;1;marref;Marine;;aerobe;498;Sphingomonadaceae;15;Abi;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;"s__Sphingopyxis alaskensis"""
GCA_000013985;DMS_other;2;marref;Marine;;aerobe;498;Sphingomonadaceae;15;DMS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;"s__Sphingopyxis alaskensis"""
GCA_000013985;Dpd;1;marref;Marine;;aerobe;498;Sphingomonadaceae;15;Dpd;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;"s__Sphingopyxis alaskensis"""
GCA_000013985;RM_type_II;1;marref;Marine;;aerobe;498;Sphingomonadaceae;15;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;"s__Sphingopyxis alaskensis"""
GCA_000013985;dXTPase;1;marref;Marine;;aerobe;498;Sphingomonadaceae;15;dXTPase;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;"s__Sphingopyxis alaskensis"""
GCA_000015285;DMS_other;3;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;DMS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;I-E;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;CRISPR-Cas_cctyper;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;RM_type_I;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;RM_type_III;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;RM_type_IV;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;cas_type_I-E;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;CRISPR-Cas_padloc;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;cas_type_I-F1;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;CRISPR-Cas_padloc;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;dXTPase;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;dXTPase;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;gabija;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;Gabija;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;hachiman_type_I;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;Hachiman;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;viperin_solo;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;Viperin;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015285;zorya_other;1;marref;Sea ice;;anaerobe;498;Psychromonadaceae;6;Zorya;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Psychromonadaceae;g__Psychromonas;"s__Psychromonas ingrahamii"""
GCA_000015505;AbiE;2;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;Abi;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;DMS_other;4;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;DMS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;DRT_class_I;2;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;DRT;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;DRT_class_III;1;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;DRT;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;PT_SspABCD;1;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;Phosphorothioation;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;PT_SspFGH;1;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;Phosphorothioation;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;RM_type_I;1;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;RM_type_IIG;2;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;brex_type_II;1;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;BREX;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;dXTPase;1;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;dXTPase;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;gabija;3;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;Gabija;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;hachiman_type_I;1;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;Hachiman;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;ietAS;1;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;ietAS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;wadjet_other;1;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;Wadjet;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000015505;zorya_type_I;1;bacdive;Freshwater sediment;0;aerobe;498;Burkholderiaceae;25;Zorya;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;"s__Polaromonas naphthalenivorans"""
GCA_000017705;AbiE;1;marref;Marine;;Facultative;498;Vibrionaceae;17;Abi;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;"s__Vibrio campbellii"""
GCA_000017705;DMS_other;2;marref;Marine;;Facultative;498;Vibrionaceae;17;DMS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;"s__Vibrio campbellii"""
GCA_000017705;I-F_T;1;marref;Marine;;Facultative;498;Vibrionaceae;17;CRISPR-Cas_cctyper;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;"s__Vibrio campbellii"""
GCA_000017705;RM_type_I;2;marref;Marine;;Facultative;498;Vibrionaceae;17;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;"s__Vibrio campbellii"""
GCA_000017705;cas_type_I-F3;1;marref;Marine;;Facultative;498;Vibrionaceae;17;CRISPR-Cas_padloc;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;"s__Vibrio campbellii"""
GCA_000017705;dXTPase;1;marref;Marine;;Facultative;498;Vibrionaceae;17;dXTPase;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;"s__Vibrio campbellii"""
GCA_000017705;gabija;1;marref;Marine;;Facultative;498;Vibrionaceae;17;Gabija;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;"s__Vibrio campbellii"""
GCA_000018025;DRT_class_I;1;tempura;Marine sediment;;facultative  ;498;Shewanellaceae;18;DRT;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;"s__Shewanella sediminis"""
GCA_000018025;RM_type_IV;1;tempura;Marine sediment;;facultative  ;498;Shewanellaceae;18;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;"s__Shewanella sediminis"""
GCA_000018025;dXTPase;1;tempura;Marine sediment;;facultative  ;498;Shewanellaceae;18;dXTPase;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;"s__Shewanella sediminis"""
GCA_000018885;dXTPase;1;bacdive;0;Oncorhynchus tshawytscha;0;82;Micrococcaceae;14;dXTPase;Actinomycetota;d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Renibacterium;"s__Renibacterium salmoninarum"""
GCA_000019185;DRT_other;1;tempura;Marine sediment;;Facultative  ;498;Shewanellaceae;18;DRT;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;"s__Shewanella halifaxensis"""
GCA_000019185;cbass_type_II;1;tempura;Marine sediment;;Facultative  ;498;Shewanellaceae;18;CBASS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;"s__Shewanella halifaxensis"""
GCA_000019185;dXTPase;1;tempura;Marine sediment;;Facultative  ;498;Shewanellaceae;18;dXTPase;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;"s__Shewanella halifaxensis"""
GCA_000019185;hhe;1;tempura;Marine sediment;;Facultative  ;498;Shewanellaceae;18;Hhe;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;"s__Shewanella halifaxensis"""
GCA_000019185;retron_III-A;1;tempura;Marine sediment;;Facultative  ;498;Shewanellaceae;18;Retron;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;"s__Shewanella halifaxensis"""
GCA_000019185;septu_type_I;2;tempura;Marine sediment;;Facultative  ;498;Shewanellaceae;18;Septu;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;"s__Shewanella halifaxensis"""
GCA_000021745;AbiE;1;bacdive;Soil;0;0;498;Beijerinckiaceae;4;Abi;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;"s__Methylocella silvestris"""
GCA_000021745;DMS_other;5;bacdive;Soil;0;0;498;Beijerinckiaceae;4;DMS;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;"s__Methylocella silvestris"""
GCA_000021745;RM_type_I;1;bacdive;Soil;0;0;498;Beijerinckiaceae;4;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;"s__Methylocella silvestris"""
GCA_000021745;RM_type_II;1;bacdive;Soil;0;0;498;Beijerinckiaceae;4;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;"s__Methylocella silvestris"""
GCA_000021745;RM_type_III;1;bacdive;Soil;0;0;498;Beijerinckiaceae;4;RM;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;"s__Methylocella silvestris"""
GCA_000021745;dXTPase;1;bacdive;Soil;0;0;498;Beijerinckiaceae;4;dXTPase;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;"s__Methylocella silvestris"""
GCA_000021745;darTG;1;bacdive;Soil;0;0;498;Beijerinckiaceae;4;DarTG;Pseudomonadota;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;"s__Methylocella silvestris"""
GCA_000025945;DMS_other;1;marref;Marine sediment;;anaerobe;3;Desulfocapsaceae;1;DMS;Desulfobacterota;d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfotalea;"s__Desulfotalea psychrophila"""
GCA_000025945;Helicase-DUF2290;1;marref;Marine sediment;;anaerobe;3;Desulfocapsaceae;1;Helicase-DUF2290;Desulfobacterota;d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfotalea;"s__Desulfotalea psychrophila"""
GCA_000025945;PifA;1;marref;Marine sediment;;anaerobe;3;Desulfocapsaceae;1;Abi;Desulfobacterota;d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfotalea;"s__Desulfotalea psychrophila"""
GCA_000025945;RM_type_II;1;marref;Marine sediment;;anaerobe;3;Desulfocapsaceae;1;RM;Desulfobacterota;d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfotalea;"s__Desulfotalea psychrophila"""
GCA_000025945;cas_type_I-G;1;marref;Marine sediment;;anaerobe;3;Desulfocapsaceae;1;CRISPR-Cas_padloc;Desulfobacterota;d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfotalea;"s__Desulfotalea psychrophila"""
GCA_000025945;cbass_type_I;1;marref;Marine sediment;;anaerobe;3;Desulfocapsaceae;1;CBASS;Desulfobacterota;d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfotalea;"s__Desulfotalea psychrophila"""
GCA_000025945;septu_type_I;1;marref;Marine sediment;;anaerobe;3;Desulfocapsaceae;1;Septu;Desulfobacterota;d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfotalea;"s__Desulfotalea psychrophila"""
GCA_000025945;shedu;1;marref;Marine sediment;;anaerobe;3;Desulfocapsaceae;1;Shedu;Desulfobacterota;d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfotalea;"s__Desulfotalea psychrophila"""
