Family;Family_count;bact_defence_system;system_count;Number_of_family_containing_each_system;Total_number_of_different_system_per_prokaryotic_genomes;Frequency_of_each_system_in_a_given_family
Abditibacteriaceae;1;3HP;0;0;0;0
Abditibacteriaceae;1;AVAST;0;0;0;0
Abditibacteriaceae;1;Abi;0;0;0;0
Abditibacteriaceae;1;Argonaute;0;0;0;0
Abditibacteriaceae;1;BREX;0;0;0;0
Abditibacteriaceae;1;CBASS;0;0;0;0
Abditibacteriaceae;1;CRISPR-Cas;0;0;0;0
Abditibacteriaceae;1;DISARM;0;0;0;0
Abditibacteriaceae;1;DRT;1;1;1;1
Abditibacteriaceae;1;DUF4238;0;0;0;0
Abditibacteriaceae;1;DarTG;0;0;0;0
Abditibacteriaceae;1;Dpd;0;0;0;0
Abditibacteriaceae;1;DprA-PRTase;0;0;0;0
Abditibacteriaceae;1;Druantia;0;0;0;0
Abditibacteriaceae;1;Dsr;0;0;0;0
Abditibacteriaceae;1;GAO;0;0;0;0
Abditibacteriaceae;1;Gabija;0;0;0;0
Abditibacteriaceae;1;Gasdermin;0;0;0;0
Abditibacteriaceae;1;Hachiman;0;0;0;0
Abditibacteriaceae;1;Helicase-DUF2290;0;0;0;0
Abditibacteriaceae;1;Hhe;0;0;0;0
Abditibacteriaceae;1;Hma;0;0;0;0
Abditibacteriaceae;1;Hydrolase-TM;0;0;0;0
Abditibacteriaceae;1;Kiwa;0;0;0;0
Abditibacteriaceae;1;Lamassu;0;0;0;0
Abditibacteriaceae;1;Mza;0;0;0;0
Abditibacteriaceae;1;Nhi;0;0;0;0
Abditibacteriaceae;1;PARIS;0;0;0;0
Abditibacteriaceae;1;Paris_fused;0;0;0;0
Abditibacteriaceae;1;Phosphorothioation;0;0;0;0
Abditibacteriaceae;1;Ppl;0;0;0;0
Abditibacteriaceae;1;Pycsar;0;0;0;0
Abditibacteriaceae;1;RADAR;0;0;0;0
Abditibacteriaceae;1;RM;1;1;1;1
Abditibacteriaceae;1;Retron;0;0;0;0
Abditibacteriaceae;1;Septu;0;0;0;0
Abditibacteriaceae;1;Shedu;1;1;1;1
Abditibacteriaceae;1;TIR-NLR;0;0;0;0
Abditibacteriaceae;1;TerY-P;0;0;0;0
Abditibacteriaceae;1;Thoeris;0;0;0;0
Abditibacteriaceae;1;Tmn;0;0;0;0
Abditibacteriaceae;1;Upx;0;0;0;0
Abditibacteriaceae;1;Viperin;0;0;0;0
Abditibacteriaceae;1;Wadjet;0;0;0;0
Abditibacteriaceae;1;Zorya;0;0;0;0
Abditibacteriaceae;1;dXTPase;0;0;0;0
Abditibacteriaceae;1;ietAS;0;0;0;0
Abditibacteriaceae;1;qatABCD;0;0;0;0
Acetobacteraceae;3;3HP;0;0;0;0
Acetobacteraceae;3;AVAST;0;0;0;0
Acetobacteraceae;3;Abi;0;0;0;0
Acetobacteraceae;3;Argonaute;0;0;0;0
Acetobacteraceae;3;BREX;0;0;0;0
Acetobacteraceae;3;CBASS;0;0;0;0
Acetobacteraceae;3;CRISPR-Cas;0;0;0;0
Acetobacteraceae;3;DISARM;0;0;0;0
Acetobacteraceae;3;DRT;1;1;1;0.333333333
Acetobacteraceae;3;DUF4238;1;1;1;0.333333333
Acetobacteraceae;3;DarTG;0;0;0;0
Acetobacteraceae;3;Dpd;0;0;0;0
Acetobacteraceae;3;DprA-PRTase;0;0;0;0
Acetobacteraceae;3;Druantia;0;0;0;0
Acetobacteraceae;3;Dsr;0;0;0;0
Acetobacteraceae;3;GAO;0;0;0;0
Acetobacteraceae;3;Gabija;0;0;0;0
Acetobacteraceae;3;Gasdermin;0;0;0;0
Acetobacteraceae;3;Hachiman;0;0;0;0
Acetobacteraceae;3;Helicase-DUF2290;0;0;0;0
Acetobacteraceae;3;Hhe;0;0;0;0
Acetobacteraceae;3;Hma;0;0;0;0
Acetobacteraceae;3;Hydrolase-TM;0;0;0;0
Acetobacteraceae;3;Kiwa;0;0;0;0
Acetobacteraceae;3;Lamassu;0;0;0;0
Acetobacteraceae;3;Mza;0;0;0;0
Acetobacteraceae;3;Nhi;0;0;0;0
Acetobacteraceae;3;PARIS;1;1;1;0.333333333
Acetobacteraceae;3;Paris_fused;0;0;0;0
Acetobacteraceae;3;Phosphorothioation;0;0;0;0
Acetobacteraceae;3;Ppl;0;0;0;0
Acetobacteraceae;3;Pycsar;2;1;2;0.333333333
Acetobacteraceae;3;RADAR;0;0;0;0
Acetobacteraceae;3;RM;1;1;1;0.333333333
Acetobacteraceae;3;Retron;0;0;0;0
Acetobacteraceae;3;Septu;0;0;0;0
Acetobacteraceae;3;Shedu;0;0;0;0
Acetobacteraceae;3;TIR-NLR;0;0;0;0
Acetobacteraceae;3;TerY-P;0;0;0;0
Acetobacteraceae;3;Thoeris;0;0;0;0
Acetobacteraceae;3;Tmn;0;0;0;0
Acetobacteraceae;3;Upx;0;0;0;0
Acetobacteraceae;3;Viperin;0;0;0;0
Acetobacteraceae;3;Wadjet;0;0;0;0
Acetobacteraceae;3;Zorya;0;0;0;0
Acetobacteraceae;3;dXTPase;1;3;3;1
Acetobacteraceae;3;ietAS;1;1;1;0.333333333
Acetobacteraceae;3;qatABCD;0;0;0;0
Acidobacteriaceae;7;3HP;0;0;0;0
Acidobacteriaceae;7;AVAST;0;0;0;0
Acidobacteriaceae;7;Abi;1;5;5;0.714285714
Acidobacteriaceae;7;Argonaute;1;3;3;0.428571429
Acidobacteriaceae;7;BREX;1;1;1;0.142857143
Acidobacteriaceae;7;CBASS;0;0;0;0
Acidobacteriaceae;7;CRISPR-Cas;1;2;2;0.285714286
Acidobacteriaceae;7;DISARM;0;0;0;0
Acidobacteriaceae;7;DRT;0;0;0;0
Acidobacteriaceae;7;DUF4238;0;0;0;0
Acidobacteriaceae;7;DarTG;1;1;1;0.142857143
Acidobacteriaceae;7;Dpd;0;0;0;0
Acidobacteriaceae;7;DprA-PRTase;0;0;0;0
Acidobacteriaceae;7;Druantia;0;0;0;0
Acidobacteriaceae;7;Dsr;0;0;0;0
Acidobacteriaceae;7;GAO;1;1;1;0.142857143
Acidobacteriaceae;7;Gabija;1;2;2;0.285714286
Acidobacteriaceae;7;Gasdermin;1;1;1;0.142857143
Acidobacteriaceae;7;Hachiman;0;0;0;0
Acidobacteriaceae;7;Helicase-DUF2290;0;0;0;0
Acidobacteriaceae;7;Hhe;0;0;0;0
Acidobacteriaceae;7;Hma;0;0;0;0
Acidobacteriaceae;7;Hydrolase-TM;0;0;0;0
Acidobacteriaceae;7;Kiwa;0;0;0;0
Acidobacteriaceae;7;Lamassu;0;0;0;0
Acidobacteriaceae;7;Mza;0;0;0;0
Acidobacteriaceae;7;Nhi;0;0;0;0
Acidobacteriaceae;7;PARIS;0;0;0;0
Acidobacteriaceae;7;Paris_fused;0;0;0;0
Acidobacteriaceae;7;Phosphorothioation;1;1;1;0.142857143
Acidobacteriaceae;7;Ppl;0;0;0;0
Acidobacteriaceae;7;Pycsar;2;1;2;0.142857143
Acidobacteriaceae;7;RADAR;0;0;0;0
Acidobacteriaceae;7;RM;3;5;8;0.714285714
Acidobacteriaceae;7;Retron;0;0;0;0
Acidobacteriaceae;7;Septu;1;1;1;0.142857143
Acidobacteriaceae;7;Shedu;0;0;0;0
Acidobacteriaceae;7;TIR-NLR;0;0;0;0
Acidobacteriaceae;7;TerY-P;0;0;0;0
Acidobacteriaceae;7;Thoeris;1;1;1;0.142857143
Acidobacteriaceae;7;Tmn;0;0;0;0
Acidobacteriaceae;7;Upx;0;0;0;0
Acidobacteriaceae;7;Viperin;0;0;0;0
Acidobacteriaceae;7;Wadjet;0;0;0;0
Acidobacteriaceae;7;Zorya;1;1;1;0.142857143
Acidobacteriaceae;7;dXTPase;0;0;0;0
Acidobacteriaceae;7;ietAS;1;2;2;0.285714286
Acidobacteriaceae;7;qatABCD;1;1;1;0.142857143
Aeromonadaceae;2;3HP;0;0;0;0
Aeromonadaceae;2;AVAST;0;0;0;0
Aeromonadaceae;2;Abi;2;1;2;0.5
Aeromonadaceae;2;Argonaute;0;0;0;0
Aeromonadaceae;2;BREX;0;0;0;0
Aeromonadaceae;2;CBASS;0;0;0;0
Aeromonadaceae;2;CRISPR-Cas;0;0;0;0
Aeromonadaceae;2;DISARM;0;0;0;0
Aeromonadaceae;2;DRT;1;1;1;0.5
Aeromonadaceae;2;DUF4238;0;0;0;0
Aeromonadaceae;2;DarTG;0;0;0;0
Aeromonadaceae;2;Dpd;0;0;0;0
Aeromonadaceae;2;DprA-PRTase;0;0;0;0
Aeromonadaceae;2;Druantia;0;0;0;0
Aeromonadaceae;2;Dsr;0;0;0;0
Aeromonadaceae;2;GAO;0;0;0;0
Aeromonadaceae;2;Gabija;1;1;1;0.5
Aeromonadaceae;2;Gasdermin;0;0;0;0
Aeromonadaceae;2;Hachiman;0;0;0;0
Aeromonadaceae;2;Helicase-DUF2290;0;0;0;0
Aeromonadaceae;2;Hhe;0;0;0;0
Aeromonadaceae;2;Hma;0;0;0;0
Aeromonadaceae;2;Hydrolase-TM;0;0;0;0
Aeromonadaceae;2;Kiwa;0;0;0;0
Aeromonadaceae;2;Lamassu;0;0;0;0
Aeromonadaceae;2;Mza;0;0;0;0
Aeromonadaceae;2;Nhi;0;0;0;0
Aeromonadaceae;2;PARIS;0;0;0;0
Aeromonadaceae;2;Paris_fused;0;0;0;0
Aeromonadaceae;2;Phosphorothioation;0;0;0;0
Aeromonadaceae;2;Ppl;0;0;0;0
Aeromonadaceae;2;Pycsar;0;0;0;0
Aeromonadaceae;2;RADAR;0;0;0;0
Aeromonadaceae;2;RM;0;0;0;0
Aeromonadaceae;2;Retron;0;0;0;0
Aeromonadaceae;2;Septu;0;0;0;0
Aeromonadaceae;2;Shedu;0;0;0;0
Aeromonadaceae;2;TIR-NLR;0;0;0;0
Aeromonadaceae;2;TerY-P;0;0;0;0
Aeromonadaceae;2;Thoeris;0;0;0;0
Aeromonadaceae;2;Tmn;0;0;0;0
Aeromonadaceae;2;Upx;0;0;0;0
Aeromonadaceae;2;Viperin;0;0;0;0
Aeromonadaceae;2;Wadjet;0;0;0;0
Aeromonadaceae;2;Zorya;0;0;0;0
Aeromonadaceae;2;dXTPase;0;0;0;0
Aeromonadaceae;2;ietAS;1;1;1;0.5
Aeromonadaceae;2;qatABCD;0;0;0;0
Akkermansiaceae;6;3HP;0;0;0;0
Akkermansiaceae;6;AVAST;0;0;0;0
Akkermansiaceae;6;Abi;1;4;4;0.666666667
Akkermansiaceae;6;Argonaute;0;0;0;0
Akkermansiaceae;6;BREX;0;0;0;0
Akkermansiaceae;6;CBASS;0;0;0;0
Akkermansiaceae;6;CRISPR-Cas;0;0;0;0
Akkermansiaceae;6;DISARM;0;0;0;0
Akkermansiaceae;6;DRT;0;0;0;0
Akkermansiaceae;6;DUF4238;0;0;0;0
Akkermansiaceae;6;DarTG;0;0;0;0
Akkermansiaceae;6;Dpd;0;0;0;0
Akkermansiaceae;6;DprA-PRTase;0;0;0;0
Akkermansiaceae;6;Druantia;0;0;0;0
Akkermansiaceae;6;Dsr;0;0;0;0
Akkermansiaceae;6;GAO;0;0;0;0
Akkermansiaceae;6;Gabija;0;0;0;0
Akkermansiaceae;6;Gasdermin;0;0;0;0
Akkermansiaceae;6;Hachiman;0;0;0;0
Akkermansiaceae;6;Helicase-DUF2290;0;0;0;0
Akkermansiaceae;6;Hhe;0;0;0;0
Akkermansiaceae;6;Hma;0;0;0;0
Akkermansiaceae;6;Hydrolase-TM;0;0;0;0
Akkermansiaceae;6;Kiwa;0;0;0;0
Akkermansiaceae;6;Lamassu;0;0;0;0
Akkermansiaceae;6;Mza;0;0;0;0
Akkermansiaceae;6;Nhi;0;0;0;0
Akkermansiaceae;6;PARIS;0;0;0;0
Akkermansiaceae;6;Paris_fused;0;0;0;0
Akkermansiaceae;6;Phosphorothioation;0;0;0;0
Akkermansiaceae;6;Ppl;0;0;0;0
Akkermansiaceae;6;Pycsar;0;0;0;0
Akkermansiaceae;6;RADAR;0;0;0;0
Akkermansiaceae;6;RM;3;1;3;0.166666667
Akkermansiaceae;6;Retron;0;0;0;0
Akkermansiaceae;6;Septu;0;0;0;0
Akkermansiaceae;6;Shedu;0;0;0;0
Akkermansiaceae;6;TIR-NLR;0;0;0;0
Akkermansiaceae;6;TerY-P;0;0;0;0
Akkermansiaceae;6;Thoeris;0;0;0;0
Akkermansiaceae;6;Tmn;0;0;0;0
Akkermansiaceae;6;Upx;0;0;0;0
Akkermansiaceae;6;Viperin;0;0;0;0
Akkermansiaceae;6;Wadjet;1;2;2;0.333333333
Akkermansiaceae;6;Zorya;0;0;0;0
Akkermansiaceae;6;dXTPase;1;6;6;1
Akkermansiaceae;6;ietAS;0;0;0;0
Akkermansiaceae;6;qatABCD;0;0;0;0
Alcanivoracaceae;5;3HP;0;0;0;0
Alcanivoracaceae;5;AVAST;0;0;0;0
Alcanivoracaceae;5;Abi;3;4;10;0.8
Alcanivoracaceae;5;Argonaute;0;0;0;0
Alcanivoracaceae;5;BREX;0;0;0;0
Alcanivoracaceae;5;CBASS;0;0;0;0
Alcanivoracaceae;5;CRISPR-Cas;1;4;4;0.8
Alcanivoracaceae;5;DISARM;0;0;0;0
Alcanivoracaceae;5;DRT;0;0;0;0
Alcanivoracaceae;5;DUF4238;0;0;0;0
Alcanivoracaceae;5;DarTG;1;1;1;0.2
Alcanivoracaceae;5;Dpd;0;0;0;0
Alcanivoracaceae;5;DprA-PRTase;0;0;0;0
Alcanivoracaceae;5;Druantia;1;1;1;0.2
Alcanivoracaceae;5;Dsr;0;0;0;0
Alcanivoracaceae;5;GAO;0;0;0;0
Alcanivoracaceae;5;Gabija;1;3;3;0.6
Alcanivoracaceae;5;Gasdermin;0;0;0;0
Alcanivoracaceae;5;Hachiman;0;0;0;0
Alcanivoracaceae;5;Helicase-DUF2290;0;0;0;0
Alcanivoracaceae;5;Hhe;0;0;0;0
Alcanivoracaceae;5;Hma;0;0;0;0
Alcanivoracaceae;5;Hydrolase-TM;0;0;0;0
Alcanivoracaceae;5;Kiwa;0;0;0;0
Alcanivoracaceae;5;Lamassu;0;0;0;0
Alcanivoracaceae;5;Mza;0;0;0;0
Alcanivoracaceae;5;Nhi;0;0;0;0
Alcanivoracaceae;5;PARIS;0;0;0;0
Alcanivoracaceae;5;Paris_fused;0;0;0;0
Alcanivoracaceae;5;Phosphorothioation;0;0;0;0
Alcanivoracaceae;5;Ppl;0;0;0;0
Alcanivoracaceae;5;Pycsar;0;0;0;0
Alcanivoracaceae;5;RADAR;0;0;0;0
Alcanivoracaceae;5;RM;3;5;12;1
Alcanivoracaceae;5;Retron;0;0;0;0
Alcanivoracaceae;5;Septu;0;0;0;0
Alcanivoracaceae;5;Shedu;1;1;1;0.2
Alcanivoracaceae;5;TIR-NLR;0;0;0;0
Alcanivoracaceae;5;TerY-P;0;0;0;0
Alcanivoracaceae;5;Thoeris;0;0;0;0
Alcanivoracaceae;5;Tmn;0;0;0;0
Alcanivoracaceae;5;Upx;0;0;0;0
Alcanivoracaceae;5;Viperin;0;0;0;0
Alcanivoracaceae;5;Wadjet;0;0;0;0
Alcanivoracaceae;5;Zorya;1;4;4;0.8
Alcanivoracaceae;5;dXTPase;0;0;0;0
Alcanivoracaceae;5;ietAS;1;2;2;0.4
Alcanivoracaceae;5;qatABCD;0;0;0;0
Alteromonadaceae;119;3HP;1;1;1;0.008403361
Alteromonadaceae;119;AVAST;1;3;3;0.025210084
Alteromonadaceae;119;Abi;3;37;44;0.31092437
Alteromonadaceae;119;Argonaute;1;2;2;0.016806723
Alteromonadaceae;119;BREX;1;5;5;0.042016807
Alteromonadaceae;119;CBASS;1;17;17;0.142857143
Alteromonadaceae;119;CRISPR-Cas;2;16;18;0.134453782
Alteromonadaceae;119;DISARM;1;1;1;0.008403361
Alteromonadaceae;119;DRT;2;44;48;0.369747899
Alteromonadaceae;119;DUF4238;0;0;0;0
Alteromonadaceae;119;DarTG;1;5;5;0.042016807
Alteromonadaceae;119;Dpd;1;6;6;0.050420168
Alteromonadaceae;119;DprA-PRTase;0;0;0;0
Alteromonadaceae;119;Druantia;1;4;4;0.033613445
Alteromonadaceae;119;Dsr;1;2;2;0.016806723
Alteromonadaceae;119;GAO;2;8;9;0.067226891
Alteromonadaceae;119;Gabija;1;31;31;0.260504202
Alteromonadaceae;119;Gasdermin;0;0;0;0
Alteromonadaceae;119;Hachiman;1;4;4;0.033613445
Alteromonadaceae;119;Helicase-DUF2290;1;1;1;0.008403361
Alteromonadaceae;119;Hhe;1;2;2;0.016806723
Alteromonadaceae;119;Hma;1;1;1;0.008403361
Alteromonadaceae;119;Hydrolase-TM;0;0;0;0
Alteromonadaceae;119;Kiwa;1;6;6;0.050420168
Alteromonadaceae;119;Lamassu;2;3;4;0.025210084
Alteromonadaceae;119;Mza;1;7;7;0.058823529
Alteromonadaceae;119;Nhi;0;0;0;0
Alteromonadaceae;119;PARIS;1;3;3;0.025210084
Alteromonadaceae;119;Paris_fused;0;0;0;0
Alteromonadaceae;119;Phosphorothioation;2;16;25;0.134453782
Alteromonadaceae;119;Ppl;1;2;2;0.016806723
Alteromonadaceae;119;Pycsar;1;3;3;0.025210084
Alteromonadaceae;119;RADAR;1;3;3;0.025210084
Alteromonadaceae;119;RM;3;103;176;0.865546218
Alteromonadaceae;119;Retron;2;17;20;0.142857143
Alteromonadaceae;119;Septu;2;20;21;0.168067227
Alteromonadaceae;119;Shedu;1;5;5;0.042016807
Alteromonadaceae;119;TIR-NLR;0;0;0;0
Alteromonadaceae;119;TerY-P;0;0;0;0
Alteromonadaceae;119;Thoeris;1;5;5;0.042016807
Alteromonadaceae;119;Tmn;1;4;4;0.033613445
Alteromonadaceae;119;Upx;1;1;1;0.008403361
Alteromonadaceae;119;Viperin;1;8;8;0.067226891
Alteromonadaceae;119;Wadjet;1;1;1;0.008403361
Alteromonadaceae;119;Zorya;2;13;14;0.109243697
Alteromonadaceae;119;dXTPase;1;114;114;0.957983193
Alteromonadaceae;119;ietAS;1;6;6;0.050420168
Alteromonadaceae;119;qatABCD;1;12;12;0.100840336
Anaerobacillaceae;1;3HP;0;0;0;0
Anaerobacillaceae;1;AVAST;0;0;0;0
Anaerobacillaceae;1;Abi;0;0;0;0
Anaerobacillaceae;1;Argonaute;0;0;0;0
Anaerobacillaceae;1;BREX;0;0;0;0
Anaerobacillaceae;1;CBASS;1;1;1;1
Anaerobacillaceae;1;CRISPR-Cas;0;0;0;0
Anaerobacillaceae;1;DISARM;0;0;0;0
Anaerobacillaceae;1;DRT;0;0;0;0
Anaerobacillaceae;1;DUF4238;0;0;0;0
Anaerobacillaceae;1;DarTG;0;0;0;0
Anaerobacillaceae;1;Dpd;0;0;0;0
Anaerobacillaceae;1;DprA-PRTase;0;0;0;0
Anaerobacillaceae;1;Druantia;0;0;0;0
Anaerobacillaceae;1;Dsr;0;0;0;0
Anaerobacillaceae;1;GAO;0;0;0;0
Anaerobacillaceae;1;Gabija;1;1;1;1
Anaerobacillaceae;1;Gasdermin;0;0;0;0
Anaerobacillaceae;1;Hachiman;0;0;0;0
Anaerobacillaceae;1;Helicase-DUF2290;0;0;0;0
Anaerobacillaceae;1;Hhe;0;0;0;0
Anaerobacillaceae;1;Hma;0;0;0;0
Anaerobacillaceae;1;Hydrolase-TM;0;0;0;0
Anaerobacillaceae;1;Kiwa;0;0;0;0
Anaerobacillaceae;1;Lamassu;0;0;0;0
Anaerobacillaceae;1;Mza;0;0;0;0
Anaerobacillaceae;1;Nhi;0;0;0;0
Anaerobacillaceae;1;PARIS;0;0;0;0
Anaerobacillaceae;1;Paris_fused;0;0;0;0
Anaerobacillaceae;1;Phosphorothioation;0;0;0;0
Anaerobacillaceae;1;Ppl;0;0;0;0
Anaerobacillaceae;1;Pycsar;0;0;0;0
Anaerobacillaceae;1;RADAR;0;0;0;0
Anaerobacillaceae;1;RM;2;1;2;1
Anaerobacillaceae;1;Retron;0;0;0;0
Anaerobacillaceae;1;Septu;1;1;1;1
Anaerobacillaceae;1;Shedu;1;1;1;1
Anaerobacillaceae;1;TIR-NLR;0;0;0;0
Anaerobacillaceae;1;TerY-P;0;0;0;0
Anaerobacillaceae;1;Thoeris;0;0;0;0
Anaerobacillaceae;1;Tmn;0;0;0;0
Anaerobacillaceae;1;Upx;0;0;0;0
Anaerobacillaceae;1;Viperin;0;0;0;0
Anaerobacillaceae;1;Wadjet;1;1;1;1
Anaerobacillaceae;1;Zorya;1;1;1;1
Anaerobacillaceae;1;dXTPase;0;0;0;0
Anaerobacillaceae;1;ietAS;1;1;1;1
Anaerobacillaceae;1;qatABCD;0;0;0;0
Arcobacteraceae;3;3HP;0;0;0;0
Arcobacteraceae;3;AVAST;0;0;0;0
Arcobacteraceae;3;Abi;1;2;2;0.666666667
Arcobacteraceae;3;Argonaute;0;0;0;0
Arcobacteraceae;3;BREX;1;1;1;0.333333333
Arcobacteraceae;3;CBASS;0;0;0;0
Arcobacteraceae;3;CRISPR-Cas;1;1;1;0.333333333
Arcobacteraceae;3;DISARM;0;0;0;0
Arcobacteraceae;3;DRT;1;1;1;0.333333333
Arcobacteraceae;3;DUF4238;0;0;0;0
Arcobacteraceae;3;DarTG;0;0;0;0
Arcobacteraceae;3;Dpd;0;0;0;0
Arcobacteraceae;3;DprA-PRTase;0;0;0;0
Arcobacteraceae;3;Druantia;0;0;0;0
Arcobacteraceae;3;Dsr;0;0;0;0
Arcobacteraceae;3;GAO;0;0;0;0
Arcobacteraceae;3;Gabija;0;0;0;0
Arcobacteraceae;3;Gasdermin;0;0;0;0
Arcobacteraceae;3;Hachiman;1;1;1;0.333333333
Arcobacteraceae;3;Helicase-DUF2290;0;0;0;0
Arcobacteraceae;3;Hhe;0;0;0;0
Arcobacteraceae;3;Hma;0;0;0;0
Arcobacteraceae;3;Hydrolase-TM;0;0;0;0
Arcobacteraceae;3;Kiwa;1;1;1;0.333333333
Arcobacteraceae;3;Lamassu;0;0;0;0
Arcobacteraceae;3;Mza;1;1;1;0.333333333
Arcobacteraceae;3;Nhi;0;0;0;0
Arcobacteraceae;3;PARIS;0;0;0;0
Arcobacteraceae;3;Paris_fused;0;0;0;0
Arcobacteraceae;3;Phosphorothioation;1;1;1;0.333333333
Arcobacteraceae;3;Ppl;0;0;0;0
Arcobacteraceae;3;Pycsar;0;0;0;0
Arcobacteraceae;3;RADAR;0;0;0;0
Arcobacteraceae;3;RM;4;3;8;1
Arcobacteraceae;3;Retron;0;0;0;0
Arcobacteraceae;3;Septu;1;1;1;0.333333333
Arcobacteraceae;3;Shedu;0;0;0;0
Arcobacteraceae;3;TIR-NLR;0;0;0;0
Arcobacteraceae;3;TerY-P;0;0;0;0
Arcobacteraceae;3;Thoeris;0;0;0;0
Arcobacteraceae;3;Tmn;0;0;0;0
Arcobacteraceae;3;Upx;0;0;0;0
Arcobacteraceae;3;Viperin;0;0;0;0
Arcobacteraceae;3;Wadjet;0;0;0;0
Arcobacteraceae;3;Zorya;0;0;0;0
Arcobacteraceae;3;dXTPase;0;0;0;0
Arcobacteraceae;3;ietAS;0;0;0;0
Arcobacteraceae;3;qatABCD;1;1;1;0.333333333
Bacillaceae;5;3HP;0;0;0;0
Bacillaceae;5;AVAST;0;0;0;0
Bacillaceae;5;Abi;0;0;0;0
Bacillaceae;5;Argonaute;0;0;0;0
Bacillaceae;5;BREX;0;0;0;0
Bacillaceae;5;CBASS;0;0;0;0
Bacillaceae;5;CRISPR-Cas;0;0;0;0
Bacillaceae;5;DISARM;0;0;0;0
Bacillaceae;5;DRT;1;2;2;0.4
Bacillaceae;5;DUF4238;0;0;0;0
Bacillaceae;5;DarTG;0;0;0;0
Bacillaceae;5;Dpd;0;0;0;0
Bacillaceae;5;DprA-PRTase;0;0;0;0
Bacillaceae;5;Druantia;0;0;0;0
Bacillaceae;5;Dsr;0;0;0;0
Bacillaceae;5;GAO;0;0;0;0
Bacillaceae;5;Gabija;1;1;1;0.2
Bacillaceae;5;Gasdermin;0;0;0;0
Bacillaceae;5;Hachiman;0;0;0;0
Bacillaceae;5;Helicase-DUF2290;1;1;1;0.2
Bacillaceae;5;Hhe;0;0;0;0
Bacillaceae;5;Hma;0;0;0;0
Bacillaceae;5;Hydrolase-TM;0;0;0;0
Bacillaceae;5;Kiwa;1;1;1;0.2
Bacillaceae;5;Lamassu;0;0;0;0
Bacillaceae;5;Mza;1;1;1;0.2
Bacillaceae;5;Nhi;0;0;0;0
Bacillaceae;5;PARIS;0;0;0;0
Bacillaceae;5;Paris_fused;0;0;0;0
Bacillaceae;5;Phosphorothioation;0;0;0;0
Bacillaceae;5;Ppl;0;0;0;0
Bacillaceae;5;Pycsar;0;0;0;0
Bacillaceae;5;RADAR;0;0;0;0
Bacillaceae;5;RM;2;4;5;0.8
Bacillaceae;5;Retron;1;1;1;0.2
Bacillaceae;5;Septu;0;0;0;0
Bacillaceae;5;Shedu;0;0;0;0
Bacillaceae;5;TIR-NLR;0;0;0;0
Bacillaceae;5;TerY-P;0;0;0;0
Bacillaceae;5;Thoeris;0;0;0;0
Bacillaceae;5;Tmn;0;0;0;0
Bacillaceae;5;Upx;0;0;0;0
Bacillaceae;5;Viperin;0;0;0;0
Bacillaceae;5;Wadjet;0;0;0;0
Bacillaceae;5;Zorya;0;0;0;0
Bacillaceae;5;dXTPase;0;0;0;0
Bacillaceae;5;ietAS;0;0;0;0
